Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Club,Temperature,Wind,Win streak,Not lose streak,Last 5 games goals for,Last 5 games goals against
2021-10-30,15:00 (16:00),League One,Matchweek 16,Sat,Away,D,3,3,Fleetwood Town,38,2657,Adebayo Akinfenwa,4-4-2,Andrew Kitchen,Match Report,,Wycombe Wanderers,10.6,11.6,1,6,10,4
2021-11-02,19:45 (20:45),League One,Matchweek 6,Tue,Home,L,1,4,Ipswich Town,41,6943,Joe Jacobson,3-4-3,Lee Swabey,Match Report,,Wycombe Wanderers,7.3,7.2,0,7,9,4
2021-11-06,15:00 (16:00),FA Cup,First round proper,Sat,Away,D,2,2,Hartlepool Utd,42,4271,Joe Jacobson,3-4-3,Darren Drysdale,Match Report,,Wycombe Wanderers,11.2,16.4,0,0,8,8
2021-11-13,15:00 (16:00),League One,Matchweek 17,Sat,Home,L,0,1,Portsmouth,56,6471,Joe Jacobson,3-4-3,Neil Hair,Match Report,,Wycombe Wanderers,10.7,10.0,0,1,8,10
2021-11-16,19:45 (20:45),FA Cup,First round proper,Tue,Home,L,0,1,Hartlepool Utd,58,1582,Adebayo Akinfenwa,3-4-3,Chris Pollard,Match Report,,Wycombe Wanderers,10.3,7.1,0,0,8,11
2021-11-20,15:00 (16:00),League One,Matchweek 18,Sat,Home,W,1,0,Bolton,43,5710,Jason McCarthy,3-4-1-2,James Oldham,Match Report,,Wycombe Wanderers,10.4,13.5,0,0,6,11
2021-11-23,19:45 (20:45),League One,Matchweek 19,Tue,Away,W,3,0,Plymouth Argyle,34,12833,Joe Jacobson,3-4-1-2,Alan Young,Match Report,,Wycombe Wanderers,6.7,6.3,1,1,4,8
2021-11-27,15:00 (16:00),League One,Matchweek 20,Sat,Away,D,2,2,Sheffield Weds,40,20761,Jason McCarthy,3-4-1-2,Darren Drysdale,Match Report,,Wycombe Wanderers,3.1,31.2,2,2,6,4
2021-12-07,19:45 (20:45),League One,Matchweek 21,Tue,Home,W,2,1,Burton Albion,50,3602,Joe Jacobson,3-4-3,Joshua Smith,Match Report,,Wycombe Wanderers,5.1,16.2,0,3,6,4
2021-12-11,15:00 (16:00),League One,Matchweek 22,Sat,Home,D,2,2,AFC Wimbledon,56,4915,Joe Jacobson,3-4-1-2,Will Finnie,Match Report,,Wycombe Wanderers,6.2,8.8,1,4,8,4
2021-12-29,19:45 (20:45),League One,Matchweek 25,Wed,Away,L,0,1,Ipswich Town,41,26456,Joe Jacobson,3-1-4-2,Samuel Barrott,Match Report,,Wycombe Wanderers,9.1,10.9,0,5,10,5
2022-01-01,15:00 (16:00),League One,Matchweek 26,Sat,Away,W,1,0,Charlton Ath,38,18895,Joe Jacobson,3-4-1-2,Paul Howard,Match Report,,Wycombe Wanderers,13.1,14.5,0,0,9,6
2022-01-08,12:30 (13:30),League One,Matchweek 27,Sat,Home,D,3,3,Sunderland,44,7229,Joe Jacobson,3-4-1-2,Charles Breakspear,Match Report,,Wycombe Wanderers,5.7,14.7,1,1,7,6
2022-01-11,20:00 (21:00),League One,Matchweek 23,Tue,Away,W,2,0,Bolton,43,12584,Joe Jacobson,3-4-1-2,Peter Wright,Match Report,,Wycombe Wanderers,6.8,6.7,0,2,8,7
2022-01-15,15:00 (16:00),League One,Matchweek 28,Sat,Home,W,2,0,Oxford United,43,8005,Joe Jacobson,3-4-3,Anthony Backhouse,Match Report,,Wycombe Wanderers,2.6,5.5,1,3,8,6
2022-01-22,15:00 (16:00),League One,Matchweek 29,Sat,Away,L,2,3,Morecambe,50,3865,Adebayo Akinfenwa,,Ben Toner,Match Report,,Wycombe Wanderers,6.4,8.3,2,4,8,4
2022-01-29,15:00 (16:00),League One,Matchweek 30,Sat,Home,L,0,1,MK Dons,47,7345,Joe Jacobson,3-4-3,Rob Lewis,Match Report,,Wycombe Wanderers,9.9,24.4,0,0,10,6
2022-02-08,19:45 (20:45),League One,Matchweek 32,Tue,Home,D,0,0,Shrewsbury,62,3871,Joe Jacobson,3-4-1-2,Sam Purkiss,Match Report,,Wycombe Wanderers,11.2,24.5,0,0,9,7
2022-02-12,15:00 (16:00),League One,Matchweek 33,Sat,Away,D,1,1,Lincoln City,55,8319,Joe Jacobson,3-4-1-2,Oliver Yates,Match Report,,Wycombe Wanderers,6.4,16.3,0,1,6,4
